elbow_angle,back_angle
180,102.5092994431321
180,103.168849034665
179,103.12823543847205
180,102.95450306718956
180,103.20971021417054
179,103.42580924971467
179,103.38419522091354
180,103.46767805987088
180,103.28239513485572
180,103.2620233029984
180,103.2620233029984
180,103.35795101117064
180,103.35795101117064
180,103.676180465476
179,103.1878099213056
179,103.22994483603208
179,102.92599912470594
178,103.00842633117983
177,103.35795101117064
177,103.71590299066553
176,103.851419013805
177,103.4808898149328
177,103.38359398078266
177,102.82134379339894
179,102.71824934637344
177,102.19015909555088
180,101.9992869305214
179,101.9992869305214
163,102.23150092123016
91,102.76111516253002
85,102.50744463053184
74,102.69958448959736
65,102.65646240957864
45,102.4451031967319
26,102.4036624123207
22,102.4036624123207
15,102.21571913413086
10,102.17513454990504
11,102.63336193527502
6,103.2405199151872
8,103.42822944822272
6,103.57043438516148
8,104.17610270075168
10,104.27086860818396
10,104.36688320781802
11,104.74356283647074
11,104.69424646070584
11,104.88152970314054
11,103.98893069625842
8,104.31871831739758
8,104.0362434679265
11,103.2514188649346
11,104.31482691040488
10,104.6369030215085
9,103.89717631501536
9,103.66630007291356
10,102.57107681215308
8,103.03865658302296
9,103.98893069625842
12,104.1780644147069
9,104.2259638987518
7,104.64525171209884
10,104.69424646070584
10,105.46121774044192
10,105.94539590092285
10,105.75603376858288
11,105.6728205095432
8,105.6728205095432
12,105.48158305539896
9,105.6728205095432
7,105.70273287391834
10,105.7848289802663
9,105.62738373912109
11,105.52411099675426
10,105.62738373912109
15,105.8406026396068
22,105.65695276579572
22,105.57558042192603
32,105.57558042192603
31,106.18324601783976
37,106.476881393688
45,106.53193062274684
45,106.58733855692742
51,105.75603376858288
63,105.42874174589626
68,105.53477861523332
75,105.58833190710592
81,105.1500532104682
84,104.905758523555
85,104.76392380914352
87,104.56275627829427
178,104.4702941000659
173,104.13319054886291
179,104.2775890477132
178,104.13319054886291
174,104.57034119604864
175,104.71312413939822
176,105.1500532104682
176,105.20240870917615
176,105.20240870917615
175,105.58833190710592
178,105.58833190710592
178,105.58833190710592
179,105.7807533095154
180,105.72660639820916
179,105.72660639820916
179,105.58833190710592
179,105.42874174589626
178,105.75603376858288
177,104.94410727306033
177,104.5132997167582
178,104.8039801562705
177,105.00891367665872
176,105.25511870305778
176,105.1500532104682
176,105.23774054783904
176,104.84317292302886
176,104.7035518237616
177,104.56275627829427
177,104.56275627829427
177,104.13181598898234
176,103.98825706414378
178,104.0362434679265
179,104.08387087134814
179,104.7932039430179
179,104.54821487362648
179,104.083207211108
179,103.98958567733358
179,104.36231348963533
179,104.17610270075168
179,103.75698111634382
180,103.75698111634382
180,104.0362434679265
179,104.58891873287465
179,104.62878012622645
179,104.66782490370008
179,105.10957512234047
180,104.7060778699425
179,103.99203377028584
178,103.14593782655588
178,103.02187453463324
179,102.5876933816488
180,102.37215525051823
180,102.18168168665296
180,101.9341959250586
178,101.89773819478384
179,102.16810345834168
180,102.32331345670588
180,102.63906244063013
179,102.78208705497012
179,102.9946167919165
179,103.2405199151872
179,103.43818815835066
179,103.2405199151872
176,103.00685163681128
176,103.24980309389942
176,103.60308775140956
177,103.75753096404026
176,104.0362434679265
176,103.833642546037
177,103.79086689736098
176,103.95450917313686
175,103.833642546037
174,103.63190452393378
176,103.71481189187844
176,103.79380861217656
177,103.7507864301093
177,103.87171906868416
180,103.87171906868416
178,104.32624132166376
175,104.16061906021964
178,103.79086689736098
79,103.833642546037
