elbow_angle,back_angle
117.6107778,124.0418793
111.3568078,124.919402
107.0975215,125.4360536
95.00596678,124.805763
86.58482999,123.4454244
78.23488199,122.9492151
73.47797437,122.7031577
70.00997441,122.6072865
65.47092174,122.5658066
61.45582147,121.9109605
59.8574708,121.8741001
56.38724887,120.4110813
53.07988818,118.4362648
50.61803361,117.5457676
45.44027703,115.7407084
45.55049683,114.6858353
43.29999115,113.5132663
41.33740544,113.344011
39.97284695,112.4204274
36.99046164,110.5121236
33.4631853,109.3348085
25.33671107,108.7922983
26.83685311,108.3754517
29.18153138,108.5538196
28.28577823,108.5538196
27.03541253,109.3163528
27.60120485,110.014718
31.6389135,110.8790169
29.47789498,112.4794344
28.57534428,112.5205656
25.28762458,110.6876586
28.72903567,110.3560995
32.73171605,110.8208929
34.42062238,110.8627883
41.51365964,112.7183354
42.02632536,111.6987903
46.11476977,111.9384805
47.94108576,111.4231115
53.12379942,110.4260248
59.40016059,110.2975698
62.80964272,109.1941757
66.41765566,107.9071623
71.03638108,107.5535448
75.43361067,105.6859059
81.70806305,104.5412413
87.91912949,102.1751345
96.97547513,100.7028476
105.8737043,101.234444
112.2048942,100.200133
118.3165333,98.6567541
129.2622282,98.60967178
136.6163493,98.71615662
139.8101215,98.38324848
142.4083973,97.19923364
136.605345,96.87481803
137.2221946,94.47665875
141.068289,94.72952691
141.9089128,95.93416546
141.9544087,95.93416546
147.0146107,94.46084826
141.5329329,96.82686234
145.3149632,98.32565033
148.8547369,98.80679269
144.8818288,99.33232633
143.3506622,100.4628792
146.9441772,100.9981218
145.6386045,101.503107
149.2020598,102.3996664
146.1762119,103.7023002
145.3650427,103.2633287
143.5930861,103.9392143
141.6077858,104.4207731
143.4658478,104.1800819
140.5284901,105.1342781
137.300825,105.1342781
138.6206685,104.9571623
135.3066877,104.1821577
129.5858185,102.2647737
124.2932614,101.1518756
124.4334615,99.42948795
117.720521,99.33232633
111.4093667,97.9071627
106.4399155,97.1006144
100.7444957,95.78992265
96.09441851,94.17043652
90.10229917,93.19088681
85.91780778,91.80241924
84.56594777,90.99808334
81.31959163,89.80036395
77.01382571,89.3947854
74.93991031,87.38831862
69.7418105,86.36064786
68.17114074,84.49207945
65.36849327,84.38894773
60.75002775,84.84144822
58.32434449,85.00432576
55.63669238,84.21007735
53.1360875,83.3951645
50.45017836,81.95494822
47.70114985,80.30638121
47.88797113,77.93360015
44.70674273,76.31250914
42.91146191,75.66456458
41.55560582,75.37055137
39.02358609,74.9389839
38.49536474,74.0826353
39.23295416,73.22348571
39.28855592,72.97158458
39.52242468,72.91218404
39.47412519,72.98745319
40.00124181,73.18314571
38.42922952,72.40283751
40.04393473,72.64597536
40.0549248,72.69326861
