elbow_angle,back_angle
150.4310933,43.95144224
146.111222,43.27589844
151.4446123,42.6862775
144.0805483,42.31921242
144.0230158,42.31921242
147.2775786,42.13759477
147.0667721,42.04726045
155.5788387,41.66707178
142.399835,40.86081074
145.2546167,40.41489762
132.2128797,39.68968843
135.8978585,38.98146539
136.8039681,37.63041642
140.8471175,36.97162107
137.7746455,35.40562629
140.92812,33.92979742
143.5466097,32.80866353
142.2605431,31.66245092
151.6640054,30.94330106
150.9946744,29.87819595
139.7476726,29.10047741
160.3240436,28.89372588
154.0365501,28.62934735
152.4794667,28.25283625
148.2005228,27.9892385
147.3619524,27.89110555
156.6596943,27.94030895
162.173094,29.29900875
160.2122641,30.18788107
154.8337516,31.5140726
162.7711,33.48926538
161.0239638,35.5668063
166.2840625,39.28940686
162.0640837,41.46999331
166.1490227,44.9043477
163.6848475,47.94868634
159.2293101,53.01123161
149.6701179,58.12686302
144.6173728,64.23572714
142.0962568,68.35072977
138.1608417,72.25532837
130.1562367,75.92202618
125.3654621,78.92612885
121.0858478,81.52144803
111.4774645,83.40446365
111.7199892,85.16204476
107.470577,88.38393335
100.1385742,90.89238546
97.79076735,93.76403486
94.11632893,94.13918926
88.05542124,96.13527209
82.23546843,98.02487606
81.59558384,98.88635229
76.21937654,99.43205503
74.1389754,99.49219487
72.79008859,99.28004569
71.84862996,100.7326646
74.80484439,101.0584793
70.74360251,102.5092994
65.08091914,103.7750183
60.20613349,105.2710652
53.43172953,107.9916634
54.76878501,108.2128733
47.6012544,109.420821
46.15665399,108.7648633
43.57879456,108.8773785
44.65963304,108.7648633
47.63949088,108.6536339
48.12779616,109.3146613
39.84495865,110.0587345
36.25813216,110.2861758
41.80820804,108.2628899
46.18599881,107.3869722
41.25660786,107.2658095
58.22946209,105.4729723
42.13985153,105.4729723
44.86891003,102.8477049
53.09044638,101.193082
53.78134789,96.77956795
55.82167884,93.24734279
61.6893569,92.00955381
67.90283072,85.61656131
63.41668285,85.46534393
65.120449,83.85639994
60.22106229,79.53712083
54.73115755,78.95905982
54.72304776,76.91700933
56.76047978,73.59946028
57.84821928,73.39301942
62.38518208,69.79358144
60.15262937,70.30797876
65.34967399,68.12905683
70.09228106,65.60231367
73.55025347,65.94265055
73.11295039,67.10164663
77.53569435,65.72895377
79.58445034,65.72895377
84.4541035,65.30447371
88.18028899,63.60371352
92.30285892,61.09081635
95.65202166,60.65251268
96.74708763,59.93141718
96.69923052,58.78159724
98.9849121,58.27064388
101.9762267,57.64215233
110.7543436,57.69958449
118.6520177,57.0305961
127.3978746,56.88183142
130.9945342,55.90031815
128.470496,55.6437325
126.5546939,54.61315693
135.6518093,54.02761295
147.2913488,53.54391891
146.0851778,52.71050029
144.0486305,52.58555601
139.2947833,50.24304644
143.8630746,48.83163945
147.4091242,48.53551961
147.2006432,47.72631099
151.8109762,47.33202368
147.6327209,46.55515951
150.6515114,46.435357
146.1035479,45.12817826
136.8230653,43.02506599
146.7416633,42.76882539
139.1379359,42.63990447
134.2293373,42.99044619
136.3130696,43.22591914
159.6016578,43.18580809
148.7523509,42.17603971
149.3189662,42.58763534
142.8492046,42.96367455
136.2202102,43.33414935
141.9100868,43.95837332
124.0004797,44.22227701
108.4823503,46.8911547
125.3462139,50.93517123
130.9294186,49.52476847
124.5892074,47.35329687
117.2395571,45.88922008
116.9296005,46.8060253
113.5341149,50.38931176
111.7396785,50.41470207
110.9259549,50.71059314
111.5065664,52.347956
101.3495821,53.4828079
95.33523788,56.14288986
95.5110857,60.436927
90.44218577,60.33104063
77.54054361,64.99550552
62.19148094,73.44292862
