elbow_angle,back_angle
143.0682913,81.01935663
142.9674751,81.80451641
144.780492,81.65204402
144.1331476,81.37055336
143.8482484,81.06724518
145.4791129,79.43645286
146.4799373,77.35646977
142.5527291,77.76746199
141.3966577,78.5110188
143.7573106,78.77991969
143.611475,79.20135487
142.1560536,79.07982872
142.6301262,79.65394344
143.8191112,79.47489213
144.5642139,80.51222432
141.7853422,81.80451641
140.5022188,82.91310459
140.0777054,82.93201327
140.5995127,82.60831639
141.5346853,80.86710589
140.9566448,81.58440935
139.8683492,80.84257485
138.6874092,79.64094751
133.9675655,78.74931857
131.2957317,76.07282197
127.7318474,78.18198056
125.0471712,79.53082574
122.2745355,77.55387013
120.0373638,76.95978371
117.8251053,76.62866803
117.2909297,76.70685079
115.4254964,77.15492014
112.3291188,76.83066598
110.1416907,77.40342676
108.116345,75.43184813
108.1659565,74.90842732
105.7112697,75.32001082
103.7161763,76.53479191
100.6760598,75.43184813
96.49239311,75.27255412
94.10278264,76.7322655
89.75625853,77.33493623
85.92263134,76.57124369
81.82693965,76.49814538
80.46347339,76.7322655
77.94881712,77.35060604
73.10052638,76.54131539
71.31496903,78.0379486
69.9093866,79.88094613
67.52954723,78.00504193
65.03026634,78.25126817
62.03630559,77.81634341
59.12971998,78.16043158
55.67558718,78.2252661
55.11606564,79.49699698
52.928563,79.18612249
51.9128217,79.62415508
51.25735717,78.43986921
48.53217905,77.35060604
47.61498514,76.74112782
47.24684577,76.30798605
50.60388914,78.40782459
48.41894141,80.82744708
49.05400535,79.90894276
41.4621732,79.09641376
39.83430903,77.14691222
39.5131312,78.10323101
39.22808535,78.16043158
39.86429675,78.81462337
37.83749868,76.34521414
37.64352753,76.15486916
37.87927397,77.19573393
39.05269962,77.2657092
39.8251629,77.98198809
39.86175134,77.76203131
38.15550173,77.60797694
38.76865032,77.52218229
38.37786163,77.18182213
38.57093173,76.57124369
39.26497316,76.68753439
39.19395209,76.57816493
39.03828796,76.15486916
38.99598834,75.35262473
40.41177033,76.87615366
41.55397113,76.91164787
43.89636493,78.93649947
44.78656327,78.07067782
47.44292361,79.15638208
49.99409118,80.43331401
51.28626047,79.65267026
52.898709,81.26586456
53.19902604,78.81462337
55.60522952,78.59750577
57.50436696,78.59750577
58.56419887,78.96655976
58.68654543,77.35361097
60.85959716,77.5559493
62.89144937,75.09855446
65.2974424,75.28795299
67.38554161,75.09855446
70.79990063,74.75850045
73.02222388,75.2089151
75.55997622,76.3041235
77.64258302,76.45571613
80.6786072,75.51023741
83.97685288,75.69972255
85.01640032,75.35947276
88.60368134,75.47114623
90.34495084,74.16094358
91.95230856,74.16094358
95.31105134,74.35180073
98.45368201,74.98892242
101.0642524,74.90842732
102.5484242,74.86786275
106.3959467,74.78609139
107.0804868,73.47910781
108.3697429,73.62798667
111.0168076,74.07598312
111.0719794,75.08878941
113.819871,76.07903964
115.0606292,76.04081873
120.8733562,76.38702188
120.998274,76.8142387
122.7818437,77.04105188
123.7673661,76.11705591
124.5768402,76.23292935
125.4552557,76.00195371
124.7041359,76.07774003
124.2949699,73.52311861
126.8306692,72.05474677
127.4486138,72.98856078
132.3924022,74.33367463
134.1068668,75.12904264
132.1350912,75.51023741
134.07547,74.79921583
134.968725,74.16094358
136.8826176,74.60878706
139.1921345,74.75850045
140.8286692,75.54912326
139.1031283,74.98892242
139.8595863,74.24502512
137.3859922,75.09855446
138.4638964,74.0968888
142.1183194,75.09855446
143.858628,76.52841413
145.3574707,77.43739944
145.6000689,77.01700743
145.5105615,77.47119229
148.4911168,76.75948008
148.7924928,76.34521414
147.3695842,75.7740361
145.0062094,75.32716296
144.2771745,73.54999377
143.7792344,75.10810396
142.5789807,74.89189604
145.1457784,74.82460636
146.6609316,75.44357568
145.5434401,73.92890972
145.5204242,74.03358584
145.0135669,75.44357568
142.8579072,72.37601138
