elbow_angle,back_angle
73.84666209607596,113.8777820884618
73.63376060771643,112.73600488258144
73.55958495327964,111.644435140714
71.53163282011334,110.97615339251264
70.93885695817123,111.19731432992184
70.71780891499495,112.2131465300836
70.51241953916625,112.37086838868711
70.89604587189616,111.8330646099338
71.02300663342653,111.03751102542182
70.86149899806546,110.7168750554553
72.20719367396372,110.49583951896146
71.52524234223543,110.33505978849888
72.65758603879391,110.27557860899095
72.12788662882757,110.43597041210997
72.22286885622158,110.7557508573905
72.73162473924718,110.91513662903316
71.88757421297142,111.13557816031732
70.95030547007705,110.81638775979025
68.20398884968343,110.5361093193744
70.75004864716338,110.7557508573905
69.84304877065964,109.9537992203572
69.95651244991976,109.85071599612525
70.44598565400173,110.39487608204838
69.78732422396804,110.39487608204838
67.50627690022773,111.19731432992184
67.48641128083179,111.39125948042567
67.12935117049254,111.23289229541844
67.74421282606093,111.54928447119384
67.29762390578269,111.86430274266417
67.41767999145847,111.39125948042567
67.85420538153473,110.97615339251264
68.65901045229137,110.8773641335791
69.53291868016466,110.61659022647348
70.74849279634321,109.90934783515635
72.0724105817342,110.29312961573471
72.2494185687318,111.86531997798608
73.10858222069959,112.65935204000588
75.6093386207409,114.22003494530352
77.67806690685408,114.38840871976394
81.90334356800638,115.21892289296495
93.0464495606515,115.44174846300255
95.47073907191036,114.83390545029091
101.86863253822234,115.2100817097412
103.9886953047241,115.96668358978064
110.37599962704702,116.49035007271232
117.73108581654829,116.93952806380082
124.78943240891708,117.61075110928478
129.65581088955537,116.565051177078
134.396231761164,116.33617444704434
141.5089457481628,116.64216523484016
149.53743840701858,117.02772574594968
157.281349323098,116.33150989092464
156.08537500114687,115.62841887821754
158.7592688128228,113.80119380616544
164.8608485401816,114.3563912527964
167.04717499853564,113.94446576676968
167.813611706578,113.12823142558496
169.9123673744855,113.87262741163268
171.10787267757658,114.03428815944258
171.6207929224043,114.1955431128227
168.0819057494984,113.12823142558496
169.68824758249173,112.66094700088044
171.27566394412707,112.59255523632731
170.61393463342137,113.47739989209292
171.059142077336,113.87262741163268
170.34580276333136,114.1955431128227
171.43437625119708,114.83648506307172
172.71285499731547,115.621995944607
170.14686964570555,116.72074584687576
173.0275475412504,114.68973380572815
172.73370093842854,114.429319843439
173.43523862433707,115.54621858391266
171.35864923097336,117.2599793839038
172.91906006800147,117.18111108547724
173.15264087772033,116.48783319214002
173.98660661637135,116.565051177078
173.12430371975276,115.6347549210448
173.16035200892216,116.565051177078
172.0945858254685,118.16252737432362
171.2412452586337,118.6104596659652
168.0087868262817,118.01237598097455
170.4345773675687,117.85323123984118
170.29642991333264,116.7186587970274
168.79753199828735,116.79608129397346
165.07814188705316,115.08022703319644
163.0155839047678,115.38790629109592
160.92726979529962,115.85676031490895
160.93309776907708,116.48623997573308
159.39671766094295,116.2545079875721
157.86133998369368,118.5426058612195
154.1977700051978,118.14160123226172
151.69206529708032,119.0383315123198
146.772421564176,118.90697716678363
143.80415805317284,118.46156948028728
142.3864961872119,119.48890781227256
141.84777989977786,118.65182845264876
140.46889196676898,117.8070415315011
137.40175762910488,117.7341905049854
133.185313497025,118.04182015224454
129.3369206552419,118.49998348663075
125.60355500842437,118.265640890211
121.59404751766732,117.79868617991148
120.28724706319616,117.64597536373869
117.5926440100457,117.10629075429571
115.98122890914154,117.33927134200606
112.96008237261384,118.32391493188864
112.23853402434,118.24300958568683
110.42483873019408,117.55940411834251
109.62996426496277,117.10266335682584
107.12001746397776,115.4782697240798
105.42596620982202,113.589289733341
103.90262828360922,114.06872330187484
102.11084878411748,114.40105802313606
99.05114627853004,114.32987672406648
95.38761756750736,115.88479024620946
93.3130495115904,116.86581366132148
90.1918378306105,117.09206713701218
86.87618015077446,117.4625617736371
83.29912320364058,117.38563774213036
81.03364687456863,117.16108459922071
80.30066422865818,116.8638530549776
78.47145112231638,116.71464817268053
76.37061565297981,116.11685343917344
74.53876186473089,116.71367802791836
72.92812141499688,117.67386330483792
70.18100234746893,117.75082295839212
68.83587501063505,117.8281775709059
66.88001500868543,118.55778601542823
65.45893232280577,118.49147921502085
63.69675348316311,118.78184551781816
60.83422977839893,118.19950670281044
60.43818653350195,118.63686324912524
60.68561728361134,118.5706985484666
60.490837912072685,119.58170401077804
59.856715451839705,120.57285571945032
60.00569471741935,120.85239461299832
60.04132947318066,120.79606204648596
60.021776667264994,120.87970410408576
60.46990604263833,120.17352002964432
61.8511090857162,120.17352002964432
63.68403890436348,120.0310512017144
66.71299267048133,119.66308866226407
69.98832929462164,117.45674228459988
73.55230100478721,116.565051177078
76.18023829605487,116.6391724546336
78.67259967261074,118.10135130596178
82.88015096253379,119.03880708279335
90.378157918112,118.68885749094468
98.74981828287444,118.17859010995916
99.66917300172628,117.00977015948658
102.63296303543194,117.16108459922071
105.97021174262294,117.67386330483792
